Prolific ID,ProificId,NumUserCommentsCreated,NumActorPostsLiked,NumActorPostsShared,NumActorCommentsLiked,UserPostsCreated,UserCommentsCreated,ActorPostsLiked(ImageName),ActorPostsLiked(PostID),ActorPostsShared(ImageName),ActorPostsShared(PostID),ActorCommentsLiked,TimeOnSite,"TimeSpentEachPost(ImageName,Time)","TimeSpentEachPost(PostID,Time)",PostLookup(PostID=ImageName),PageLog
,5ed559e5afbd830e2117ed55,0,0,0,0,,,,,,,,0,,,,
,5e52a7cc53ecf12b883e1e1f,0,0,0,0,,,,,,,,118988,"[t30con-real.jpg,20214];[t02con-real.jpg,2188];[t05con-ai.png,5215];[t09con-real.jpg,8731];[t29con-real.jpg,5123];[t13con-ai.png,6480];[t04con-real.jpg,10552];[t15con-real.jpg,3418];[t21con-real.jpg,3583];[t01con-real.jpg,1517];[t14con-real.jpg,4921];[t23con-real.jpg,9716];[t20con-real.jpg,4333];[t17con-real.jpg,4151]","[64,20214];[1,2188];[31,5215];[7,8731];[63,5123];[40,6480];[2,10552];[14,3418];[20,3583];[0,1517];[13,4921];[22,9716];[19,4333];[16,4151]",64=t30con-real.jpg;1=t02con-real.jpg;31=t05con-ai.png;7=t09con-real.jpg;63=t29con-real.jpg;40=t13con-ai.png;2=t04con-real.jpg;14=t15con-real.jpg;20=t21con-real.jpg;0=t01con-real.jpg;13=t14con-real.jpg;22=t23con-real.jpg;19=t20con-real.jpg;16=t17con-real.jpg,/newsfeed/condition/
,699f21f48dfdfb5a5371a5e1,0,3,0,0,,,"t02con-real.jpg,t04con-real.jpg,t06con-real.jpg","1,2,4",,,,39738,"[t30con-ai.png,11441];[t15con-real.jpg,0];[t02con-real.jpg,0];[t23con-real.jpg,2208];[t04con-real.jpg,0];[t06con-real.jpg,0]","[64,11441];[14,0];[1,0];[22,2208];[2,0];[4,0]",64=t30con-ai.png;14=t15con-real.jpg;1=t02con-real.jpg;22=t23con-real.jpg;2=t04con-real.jpg;4=t06con-real.jpg,/newsfeed/condition/
,6a0de942c11b866cac7686fc,0,0,0,0,,,,,,,,0,,,,
,69d551e99feafe87823be76e,0,0,0,0,,,,,,,,0,,,,
,6a17426398f41548822161e9,0,0,0,0,,,,,,,,0,,,,
,69ffb17eb04445eb672ded46,0,0,0,0,,,,,,,,0,,,,
,6a041c22345a38f05fbd3213,4,14,8,0,,"No, on Post t21con-ai.png (PostID 48), on Day 1
support, on Post t19con-ai.png (PostID 46), on Day 1
perfect, on Post t11con-ai.png (PostID 38), on Day 1
yes for me, on Post t22con-ai.png (PostID 49), on Day 1
","t30con-ai.png,t02con-ai.png,t13con-ai.png,t04con-real.jpg,t14con-ai.png,t27con-ai.png,t19con-ai.png,t11con-ai.png,t28con-ai.png,t03con-real.jpg,t08con-ai.png,t10con-ai.png,t22con-ai.png,t16con-ai.png","64,29,40,2,41,54,46,38,55,9,34,36,49,43","t05con-ai.png,t13con-ai.png,t04con-real.jpg,t27con-ai.png,t28con-ai.png,t03con-real.jpg,t22con-ai.png,t16con-ai.png","31,40,2,54,55,9,49,43",,0,"[t30con-ai.png,31223];[t02con-ai.png,18270];[t15con-real.jpg,4468];[t21con-ai.png,2401];[t05con-ai.png,3934];[t09con-ai.png,0];[t13con-ai.png,6972];[t29con-real.jpg,0];[t04con-real.jpg,6497];[t14con-ai.png,0];[t20con-ai.png,0];[t27con-ai.png,6001];[t26con-ai.png,0];[t19con-ai.png,4894];[t11con-ai.png,4534];[t28con-ai.png,11412];[t01con-ai.png,0];[t03con-real.jpg,0];[t08con-ai.png,0];[t10con-ai.png,7705];[t22con-ai.png,4102];[t16con-ai.png,0];[t23con-ai.png,2722];[t12con-real.jpg,5099]","[64,31223];[29,18270];[14,4468];[48,2401];[31,3934];[35,0];[40,6972];[63,0];[2,6497];[41,0];[47,0];[54,6001];[53,0];[46,4894];[38,4534];[55,11412];[28,0];[9,0];[34,0];[36,7705];[49,4102];[43,0];[50,2722];[11,5099]",64=t30con-ai.png;29=t02con-ai.png;14=t15con-real.jpg;48=t21con-ai.png;31=t05con-ai.png;35=t09con-ai.png;40=t13con-ai.png;63=t29con-real.jpg;2=t04con-real.jpg;41=t14con-ai.png;47=t20con-ai.png;54=t27con-ai.png;53=t26con-ai.png;46=t19con-ai.png;38=t11con-ai.png;55=t28con-ai.png;28=t01con-ai.png;9=t03con-real.jpg;34=t08con-ai.png;36=t10con-ai.png;49=t22con-ai.png;43=t16con-ai.png;50=t23con-ai.png;11=t12con-real.jpg,
,69b1cb42288961a093bb3063,0,0,0,0,,,,,,,,0,,,,
,69f4affecb304665fbe57e0c,0,0,0,0,,,,,,,,0,,,,
