ProlificId,ScriptMongoId,ImageName,PostBody,DuplicateEntryCount,ExtraEntryCount,LikedStateConflict,DislikedStateConflict,SharedStateConflict,SummedReadTimeMs,EntryDetailsJSON
56cc78e3ccc0e20006b82a7d,69f563d1d36d0896cb128634,t14lib-real,Science and Public Health,2,1,true,false,false,3559,"[{""index"":10,""feedActionId"":""6a2022a5a3e4a43ad25610ee"",""liked"":true,""disliked"":false,""shared"":false,""likeTime"":[""2026-06-03T12:48:36.531Z""],""unlikeTime"":[],""dislikeTime"":[],""undislikeTime"":[],""shareTime"":[],""unshareTime"":[],""readTimeMs"":[],""totalReadTimeMs"":0,""newCommentCount"":0},{""index"":11,""feedActionId"":""6a2022a5a3e4a43ad2561120"",""liked"":false,""disliked"":false,""shared"":false,""likeTime"":[],""unlikeTime"":[],""dislikeTime"":[],""undislikeTime"":[],""shareTime"":[],""unshareTime"":[],""readTimeMs"":[3559],""totalReadTimeMs"":3559,""newCommentCount"":0}]"
57334d427d01ed00098e8e69,69f563d2d36d0896cb128667,t01lib-ai.png,guns in America...,2,1,true,false,false,3398,"[{""index"":14,""feedActionId"":""6a207cea42a705c36a048e82"",""liked"":true,""disliked"":false,""shared"":false,""likeTime"":[""2026-06-03T19:13:44.618Z""],""unlikeTime"":[],""dislikeTime"":[],""undislikeTime"":[],""shareTime"":[],""unshareTime"":[],""readTimeMs"":[],""totalReadTimeMs"":0,""newCommentCount"":0},{""index"":15,""feedActionId"":""6a207cea42a705c36a048eb1"",""liked"":false,""disliked"":false,""shared"":false,""likeTime"":[],""unlikeTime"":[],""dislikeTime"":[],""undislikeTime"":[],""shareTime"":[],""unshareTime"":[],""readTimeMs"":[3398],""totalReadTimeMs"":3398,""newCommentCount"":0}]"
57ae30a960a25a000195c802,69f563d0d36d0896cb128622,t09lib-real,Politicians discuss climate issues-,2,1,false,true,false,5065,"[{""index"":4,""feedActionId"":""6a4ba9e6c082f9c4316badf2"",""liked"":false,""disliked"":true,""shared"":false,""likeTime"":[],""unlikeTime"":[],""dislikeTime"":[""2026-07-06T13:13:08.845Z""],""undislikeTime"":[],""shareTime"":[],""unshareTime"":[],""readTimeMs"":[],""totalReadTimeMs"":0,""newCommentCount"":0},{""index"":5,""feedActionId"":""6a4ba9e6c082f9c4316bae00"",""liked"":false,""disliked"":false,""shared"":false,""likeTime"":[],""unlikeTime"":[],""dislikeTime"":[],""undislikeTime"":[],""shareTime"":[],""unshareTime"":[],""readTimeMs"":[5065],""totalReadTimeMs"":5065,""newCommentCount"":0}]"
57ae30a960a25a000195c802,69f563d0d36d0896cb12862e,t12lib-real,#Vaccines,2,1,false,true,false,2883,"[{""index"":21,""feedActionId"":""6a4baa4fc082f9c4316c56d3"",""liked"":false,""disliked"":true,""shared"":false,""likeTime"":[],""unlikeTime"":[],""dislikeTime"":[""2026-07-06T13:14:54.680Z""],""undislikeTime"":[],""shareTime"":[],""unshareTime"":[],""readTimeMs"":[],""totalReadTimeMs"":0,""newCommentCount"":0},{""index"":22,""feedActionId"":""6a4baa4fc082f9c4316c5748"",""liked"":false,""disliked"":false,""shared"":false,""likeTime"":[],""unlikeTime"":[],""dislikeTime"":[],""undislikeTime"":[],""shareTime"":[],""unshareTime"":[],""readTimeMs"":[2883],""totalReadTimeMs"":2883,""newCommentCount"":0}]"
5815767b0643a600016f0e72,69f563d0d36d0896cb128616,t05lib-real,Is #abortion about #bodyautonomy OR #sanctityoflife?,2,1,true,false,false,5899,"[{""index"":4,""feedActionId"":""6a202228a3e4a43ad255883c"",""liked"":true,""disliked"":false,""shared"":false,""likeTime"":[""2026-06-03T12:46:31.495Z""],""unlikeTime"":[],""dislikeTime"":[],""undislikeTime"":[],""shareTime"":[],""unshareTime"":[],""readTimeMs"":[],""totalReadTimeMs"":0,""newCommentCount"":0},{""index"":5,""feedActionId"":""6a202228a3e4a43ad2558882"",""liked"":false,""disliked"":false,""shared"":false,""likeTime"":[],""unlikeTime"":[],""dislikeTime"":[],""undislikeTime"":[],""shareTime"":[],""unshareTime"":[],""readTimeMs"":[5899],""totalReadTimeMs"":5899,""newCommentCount"":0}]"
59f226a9d6380600018b2923,69f563d7d36d0896cb12872a,t09con-ai.png,Politicians discuss climate issues-,2,1,true,false,false,6884,"[{""index"":2,""feedActionId"":""6a204c40a3e4a43ad259b77d"",""liked"":true,""disliked"":false,""shared"":false,""likeTime"":[""2026-06-03T15:46:06.721Z""],""unlikeTime"":[],""dislikeTime"":[],""undislikeTime"":[],""shareTime"":[],""unshareTime"":[],""readTimeMs"":[2011],""totalReadTimeMs"":2011,""newCommentCount"":0},{""index"":3,""feedActionId"":""6a204c40a3e4a43ad259b796"",""liked"":false,""disliked"":false,""shared"":false,""likeTime"":[],""unlikeTime"":[],""dislikeTime"":[],""undislikeTime"":[],""shareTime"":[],""unshareTime"":[],""readTimeMs"":[4873],""totalReadTimeMs"":4873,""newCommentCount"":0}]"
59f226a9d6380600018b2923,69f563d5d36d0896cb1286e2,t12con-real,#Vaccines,2,1,true,false,false,3335,"[{""index"":17,""feedActionId"":""6a204d06b8fb4d7ff6c115e6"",""liked"":true,""disliked"":false,""shared"":false,""likeTime"":[""2026-06-03T15:49:23.586Z""],""unlikeTime"":[],""dislikeTime"":[],""undislikeTime"":[],""shareTime"":[],""unshareTime"":[],""readTimeMs"":[],""totalReadTimeMs"":0,""newCommentCount"":0},{""index"":18,""feedActionId"":""6a204d07b8fb4d7ff6c11638"",""liked"":false,""disliked"":false,""shared"":false,""likeTime"":[],""unlikeTime"":[],""dislikeTime"":[],""undislikeTime"":[],""shareTime"":[],""unshareTime"":[],""readTimeMs"":[3335],""totalReadTimeMs"":3335,""newCommentCount"":0}]"
59f226a9d6380600018b2923,69f563d9d36d0896cb12876f,t29con-real,#war #iran,2,1,true,false,false,4189,"[{""index"":12,""feedActionId"":""6a204cc3a3e4a43ad25a24a6"",""liked"":true,""disliked"":false,""shared"":false,""likeTime"":[""2026-06-03T15:48:17.057Z""],""unlikeTime"":[],""dislikeTime"":[],""undislikeTime"":[],""shareTime"":[],""unshareTime"":[],""readTimeMs"":[],""totalReadTimeMs"":0,""newCommentCount"":0},{""index"":13,""feedActionId"":""6a204cc4a3e4a43ad25a24b6"",""liked"":false,""disliked"":false,""shared"":false,""likeTime"":[],""unlikeTime"":[],""dislikeTime"":[],""undislikeTime"":[],""shareTime"":[],""unshareTime"":[],""readTimeMs"":[4189],""totalReadTimeMs"":4189,""newCommentCount"":0}]"
5a285307df86d80001455de5,69f563d5d36d0896cb1286d6,t09con-real,Politicians discuss climate issues-,2,1,false,true,false,3199,"[{""index"":5,""feedActionId"":""6a208be26ed9fc4aa184c202"",""liked"":false,""disliked"":true,""shared"":false,""likeTime"":[],""unlikeTime"":[],""dislikeTime"":[""2026-06-03T20:17:38.761Z""],""undislikeTime"":[],""shareTime"":[],""unshareTime"":[],""readTimeMs"":[],""totalReadTimeMs"":0,""newCommentCount"":0},{""index"":6,""feedActionId"":""6a208be26ed9fc4aa184c23a"",""liked"":false,""disliked"":false,""shared"":false,""likeTime"":[],""unlikeTime"":[],""dislikeTime"":[],""undislikeTime"":[],""shareTime"":[],""unshareTime"":[],""readTimeMs"":[3199],""totalReadTimeMs"":3199,""newCommentCount"":0}]"
5a286558564bdf00016463fc,69f563d5d36d0896cb1286c7,t04con-real,#abortion #protest has taken place across the country,2,1,false,true,false,8201,"[{""index"":10,""feedActionId"":""6a209ee12f4a01dfe95a10a3"",""liked"":false,""disliked"":true,""shared"":false,""likeTime"":[],""unlikeTime"":[],""dislikeTime"":[""2026-06-03T21:38:40.745Z""],""undislikeTime"":[],""shareTime"":[],""unshareTime"":[],""readTimeMs"":[],""totalReadTimeMs"":0,""newCommentCount"":0},{""index"":11,""feedActionId"":""6a209ee12f4a01dfe95a10db"",""liked"":false,""disliked"":false,""shared"":false,""likeTime"":[],""unlikeTime"":[],""dislikeTime"":[],""undislikeTime"":[],""shareTime"":[],""unshareTime"":[],""readTimeMs"":[8201],""totalReadTimeMs"":8201,""newCommentCount"":0}]"
